clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
455115;152002;1_Samuel 17:51;link;JNSW00;qal;691869;W;Conj;;691870;JNSW00;Pred;;;;;;;;;;;;;;;;;
455323;153008;1_Samuel 19:8;link;JNSW ;qal;692511;W;Conj;;692512;JNSW ;Pred;;692513;MPNJW00;Cmpl;;;;;;;;;;;;;
455332;153061;1_Samuel 19:10;link;NS ;qal;692542;W;Conj;;692543;DWD ;Subj;;692544;NS ;Pred;;;;;;;;;;;;;
456795;159840;1_Samuel 30:17;link;JNSW00;qal;697015;W;Conj;;697016;JNSW00;Pred;;;;;;;;;;;;;;;;;
456858;160175;1_Samuel 31:1;link;JNSW ;qal;697205;W;Conj;;697206;JNSW ;Pred;;697207;>N#J J#R>L ;Subj;;697208;MPNJ PL#TJM ;Cmpl;;;;;;;;;
456883;160318;1_Samuel 31:7;link;NSW ;qal;697289;KJ&;Conj;;697290;NSW ;Pred;;697291;>N#J J#R>L ;Subj;;;;;;;;;;;;;
456886;160333;1_Samuel 31:7;link;JNSW ;qal;697299;W;Conj;;697300;JNSW ;Pred;;;;;;;;;;;;;;;;;
456930;160540;2_Samuel 1:4;link;NS ;qal;697432;>#R&;Rela;;697433;NS ;Pred;;697434;H<M ;Subj;;697435;MN&HMLXMH ;Cmpl;;;;;;;;;
457355;162673;2_Samuel 4:4;link;TNS ;qal;698718;W;Conj;;698719;TNS ;Pred;;;;;;;;;;;;;;;;;
457358;162679;2_Samuel 4:4;link;NWS ;qal;698723;LNWS ;Pred;;;;;;;;;;;;;;;;;;;;;
457885;165550;2_Samuel 10:13;link;JNSW ;qal;700402;W;Conj;;700403;JNSW ;Pred;;700404;MPNJW00;Cmpl;;;;;;;;;;;;;
457887;165558;2_Samuel 10:14;link;NS ;qal;700408;KJ&;Conj;;700409;NS ;Pred;;700410;>RM ;Subj;;;;;;;;;;;;;
457888;165561;2_Samuel 10:14;link;JNSW ;qal;700411;W;Conj;;700412;JNSW ;Pred;;700413;MPNJ >BJ#J ;Cmpl;;;;;;;;;;;;;
